NAME,LABEL,Z
ZTF23aaitimz,SN Ia,0.061759
ZTF23aaikcdx,SN Ia,0.021538
ZTF23aahxsrk,SN Ia,0.06
ZTF23aahxdhe,SN Ia,0.05
ZTF23aahyznf,SN Ia,0.0777
ZTF23aahxdsi,SN Ia,0.078
ZTF23aahvmpq,SN Ia,0.041528
ZTF23aagkutf,SN II,0.027067
ZTF21acaqcrw,SLSN-I,0.22
ZTF23aaetxdd,SN Ia,0.1
ZTF23aahkmbj,SN Ia,0.049
ZTF23aaedrcn,SN Ia,0.052971
ZTF20aafdzfo,QSO,1.138
ZTF23aafsjor,SN Ia,0.038
ZTF18aahpouv,SN I,0.106026
ZTF23aaftouh,SN Ia,0.125
ZTF23aagjylc,SN Ia,0.07
ZTF23aaeqonb,SN II,0.045
ZTF23aaghvsv,SN Ia-91T-like,0.05
ZTF23aaghvkj,SN Ia,0.0472
ZTF23aagkgnz,SN Ia,0.0467
ZTF23aaftnvx,SN Ia,0.092
ZTF23aafxfeu,SN Ia-91bg-like,0.027
ZTF23aafsglu,SN Ia,0.028384
ZTF23aaeuaci,SN Ia,0.068416
ZTF23aaelbgl,SN Ia,0.066
ZTF23aadbrdk,SN Ia,0.064
ZTF23aaazgtw,SN IIP,0.0515
ZTF23aahzyls,Other,-1.0
ZTF23aahfxpr,SN Ia,0.022
ZTF23aagmbuf,SN Ia,0.058464
ZTF23aaglprc,SN Ia,0.075211
ZTF23aaeskhd,SN Ia,0.114
ZTF23aaelzdb,SN Ia,0.093
ZTF23aaemepn,SN Ia,0.049
ZTF23aadwitm,SN Ia,0.067
ZTF23aaavsyk,SN Ia,0.04
ZTF23aafqzkn,SN Ia,0.073752
ZTF18acllhfg,SN Ia,0.046418
ZTF23aagfpxq,SN Ia,0.04
ZTF23aaetxqb,SN Ia,0.06163
ZTF23aadqhae,SN Ia,0.0647
ZTF23aadcbay,TDE,0.071
ZTF23aaftebr,SN Ia,0.074253
ZTF23aagpjyp,SN Ia,0.085
ZTF23aafwsuu,Other,-1.0
ZTF23aafratn,SN Ia,0.091
ZTF18aankxqv,SN Ia,0.099
ZTF23aafwykt,SN Ic,0.02831
ZTF23aafggjj,SN Ia,0.091
ZTF23aaeygvh,SN Ia,0.07713
ZTF23aaeyqoa,SN Ia,0.066
ZTF23aaecexq,SN IIn,0.067
ZTF23aadtwfs,SN Ia,0.06
ZTF23aaczunw,SN IIn,0.108
ZTF23aadjsyj,SN Ia,0.029
ZTF19aanrrqu,SN II,0.02377
ZTF23aagaiju,SN Ia,0.068
ZTF23aafwvek,SN Ia,0.055378
ZTF23aaeyugg,SN Ia,0.055531
ZTF23aaelgnd,SN Ia-91T-like,0.04769291
ZTF23aadcltm,SN II,0.0183
ZTF23aadjhyj,SN II,0.0367
ZTF23aadgdnv,SN II,0.020635
ZTF23aagqyym,SN II,0.0308
ZTF23aagunkc,Other,-1.0
ZTF23aafvstn,SN Ia,0.085
ZTF23aafhfwx,SN Ia,0.066724
ZTF23aaejwkh,SN Ia,0.095
ZTF23aaexcmm,SN Ia,0.062732
ZTF23aaenpcd,SN Ia,0.101178
ZTF23aadozop,SN Ia-91T-like,0.087
ZTF23aaabzea,SN IIn,0.105
ZTF23aafrhew,SN Ia,0.06
ZTF23aafvgyf,SN Ia,0.047309
ZTF23aaeufns,SN Ia,0.049
ZTF23aaeaxgr,SN Ia,0.08
ZTF23aafumlg,SN II,0.02
ZTF23aaemgto,SN Ia,0.08
ZTF23aaeavsh,SN Ia,0.066
ZTF23aaeozef,SN Ia,0.07503
ZTF23aaeieqk,SN Ia-91T-like,0.032948
ZTF23aaeqhkx,SN Ia,0.030347
ZTF23aaenctz,SN Ia,0.079
ZTF23aaelxbd,SN Ia,0.07
ZTF23aaedvtn,SN II,0.05
ZTF23aaecgwh,SN Ic,0.0415
ZTF23aaenexu,SN Ia,0.064
ZTF23aaenlmq,SN II,0.018
ZTF23aadvxih,SN Ia,0.014
ZTF23aaeqsvb,SN Ia,0.086
ZTF23aaeqhrg,SN Ia,0.025
ZTF23aaelwoi,SN Ia,0.064
ZTF23aadmwpn,SN Ia,0.060624
ZTF20aanlygx,AGN,0.063
ZTF23aaawatw,SN II,0.096
ZTF23aaesmsf,SN IIb,0.02
ZTF23aaeogik,SN Ia,0.0319619998
ZTF23aaelkos,SN Ia,0.04
ZTF23aaemgsd,SN Ia,0.023
ZTF23aaencty,SN Ia,0.064
ZTF23aaejvro,SN Ia,0.046
ZTF23aadruma,SN II,0.022
ZTF23aadjpsn,SN Ia-91T-like,0.0534
ZTF23aaekebt,SN II,0.02
ZTF23aaeemik,SN II,0.0336
ZTF23aaedsfn,SN Ia,0.066
ZTF23aaedrzc,SN Ia,0.06
ZTF23aaeavsv,SN II,0.0441
ZTF23aaekejj,SN Ia,0.06
ZTF23aaeeawl,SN Ia,0.033727
ZTF23aadwfed,SN Ia,0.063
ZTF23aaelbbq,SN Ia,0.039456
ZTF23aadaypx,SN II,0.059
ZTF23aacjetk,SN II,0.0286
ZTF23aaejvsg,SN Ia,0.067
ZTF23aaduhkq,SN Ia,0.061
ZTF23aacyfpi,SN Ia,0.047
ZTF23aadwlhl,SN Ia,0.046
ZTF23aadvpwt,SN Ia-91T-like,0.03
ZTF23aacrvqj,SN II,0.04
ZTF23aadwigb,SN Ia,0.051
ZTF23aacdlsh,SN II,0.019603
ZTF22abvmfpq,SN Ia,0.013
ZTF23aaehsgs,SN Ia,0.018
ZTF23aaeauii,SN Ia,0.082
ZTF23aadwiyy,SN Ia,0.074
ZTF23aaawbsc,SN IIb,0.025
ZTF23aaejwfe,SN Ia,0.036
ZTF23aafarif,SN Ia,0.0217
ZTF23aadnpbq,SN Ia,0.054478
ZTF22abnvurz,SN Ic-BL,0.003
ZTF23aadvtxf,SN Ia,0.026563
ZTF23aadtfgp,SN Ia,0.06
ZTF23aadcavq,SN Ia,0.046
ZTF23aaekiqe,SN Ia,0.016
ZTF18aanxlcr,SN Ia,0.063
ZTF23aaeebxm,SN Ib,0.01097
ZTF23aadjoew,SN Ic,0.00758
ZTF22abvmgtl,SN Ia,0.006484
ZTF22abtcyhv,SN II,0.008745
ZTF23aadjwkw,SN Ia,0.068
ZTF23aaczrwr,SN II,0.03282
ZTF23aadbwtw,SN II,0.045
ZTF23aadwjtg,SN Ia,0.044167
ZTF23aadrume,SN Ia-91T-like,0.012
ZTF23aaeayer,SN II,0.0221
ZTF23aadqctr,SN Ia,0.053
ZTF23aadbbxb,CV,-1.0
ZTF23aadbxsz,SN Ia-91T-like,0.055
ZTF23aadcbfw,SN Ia,0.085
ZTF23aackjhs,SN II,0.00512
